location,id,IdLugar,Nombre,Descripcion,Direccion,Municipio,Estado,Facebook,homepage,Latitud,Longitud,websitecontact,Categoria,Genero,Fecha,Hora,Lugar
Ciudad de México,1afzaougkdldlqa,KovZpZA6EkkA,El Gran Show en Vivo de Bely y Beto VIP,null,Paseo de la Reforma # 50 Col Polanco V Sección,Ciudad de México,Distrito Federal,null,null,19.424648,-99.19484,https://www.ticketmaster.com.mx/el-gran-show-en-vivo-de-ciudad-de-mexico-distrito-federal-10-24-2021/event/14005836EB0EB745,Miscellaneous,Family,2021-10-24,17:00:00,Auditorio Nacional
Ciudad de México,1afzaougkdlydlf,KovZpZA6EkkA,El Gran Show en Vivo de Bely y Beto,null,Paseo de la Reforma # 50 Col Polanco V Sección,Ciudad de México,Distrito Federal,null,null,19.424648,-99.19484,https://www.ticketmaster.com.mx/el-gran-show-en-vivo-de-ciudad-de-mexico-distrito-federal-10-24-2021/event/14005836EBE7B7D4,Miscellaneous,Family,2021-10-24,17:00:00,Auditorio Nacional
Ciudad de México,1av8zpagkv8rf3x,KovZpZA6EkkA,El Gran Show en Vivo de Bely y Beto VIP,null,Paseo de la Reforma # 50 Col Polanco V Sección,Ciudad de México,Distrito Federal,null,null,19.424648,-99.19484,https://www.ticketmaster.com.mx/el-gran-show-en-vivo-de-ciudad-de-mexico-distrito-federal-10-24-2021/event/1400585D10BD44A2,Miscellaneous,Family,2021-10-24,13:00:00,Auditorio Nacional
Ciudad de México,1av8zpagkvomvpq,KovZpZA6EkkA,El Gran Show en Vivo de Bely y Beto,null,Paseo de la Reforma # 50 Col Polanco V Sección,Ciudad de México,Distrito Federal,null,null,19.424648,-99.19484,https://www.ticketmaster.com.mx/el-gran-show-en-vivo-de-ciudad-de-mexico-distrito-federal-10-24-2021/event/1400585D11BB459A,Miscellaneous,Family,2021-10-24,13:00:00,Auditorio Nacional
Estado de México,g5v8zpnlrta_r,KovZpZAEvAnA,La vaca Lola,null,"Av. Jesús del Monte #41,  ",Estado de México,Estado de México,null,null,19.3770504,-99.2959213,https://www.ticketmaster.com.mx/la-vaca-lola-estado-de-mexico-estado-de-mexico-11-06-2021/event/14005AAAEFFC566F,Miscellaneous,Family,2021-11-06,13:00:00,Teatro del Parque Interlomas
Estado de México,g5v8zpnlyvaqe,KovZpZAEvAnA,La vaca Lola,null,"Av. Jesús del Monte #41,  ",Estado de México,Estado de México,null,null,19.3770504,-99.2959213,https://www.ticketmaster.com.mx/la-vaca-lola-estado-de-mexico-estado-de-mexico-11-06-2021/event/14005AAAF0045682,Miscellaneous,Family,2021-11-06,18:30:00,Teatro del Parque Interlomas
Estado de México,g5v8zpnlyva_t,KovZpZAEvAnA,La vaca Lola,null,"Av. Jesús del Monte #41,  ",Estado de México,Estado de México,null,null,19.3770504,-99.2959213,https://www.ticketmaster.com.mx/la-vaca-lola-estado-de-mexico-estado-de-mexico-11-06-2021/event/14005AAAF004567F,Miscellaneous,Family,2021-11-06,16:00:00,Teatro del Parque Interlomas
Estado de México,g5v8zpnlyv4qv,KovZpZAEvAnA,La vaca Lola,null,"Av. Jesús del Monte #41,  ",Estado de México,Estado de México,null,null,19.3770504,-99.2959213,https://www.ticketmaster.com.mx/la-vaca-lola-estado-de-mexico-estado-de-mexico-11-07-2021/event/14005AAAF00556B4,Miscellaneous,Family,2021-11-07,13:30:00,Teatro del Parque Interlomas
Estado de México,g5v8zpnlyv4qt,KovZpZAEvAnA,La vaca Lola,null,"Av. Jesús del Monte #41,  ",Estado de México,Estado de México,null,null,19.3770504,-99.2959213,https://www.ticketmaster.com.mx/la-vaca-lola-estado-de-mexico-estado-de-mexico-11-07-2021/event/14005AAAF00556A9,Miscellaneous,Family,2021-11-07,11:00:00,Teatro del Parque Interlomas
Estado de México,g5v8zpnlyvpqd,KovZpZAEvAnA,La vaca Lola,null,"Av. Jesús del Monte #41,  ",Estado de México,Estado de México,null,null,19.3770504,-99.2959213,https://www.ticketmaster.com.mx/la-vaca-lola-estado-de-mexico-estado-de-mexico-11-07-2021/event/14005AAAF00656BB,Miscellaneous,Family,2021-11-07,16:00:00,Teatro del Parque Interlomas
